Microsoft Windows [Version 10.0.28000.1836]
(c) Корпорация Майкрософт (Microsoft Corporation). Все права защищены.

C:\Windows\System32>cd C:\Users\win11rcv\Desktop\multicast

C:\Users\win11rcv\Desktop\multicast>python tcp_adapter.py --bench-host 192.168.56.102 --retry
13:45:54.101  tcp_adapter запущен  [threading mode]
13:45:54.102    стенд:  192.168.56.102:55200  (TCP данные)
13:45:54.102    вывод:  data_tcp.bin
13:45:54.103    sync:   192.168.56.102:55100  (UDP метки)
13:45:54.103  Sync-генератор: 2000 Гц → 192.168.56.102:55100
13:45:54.111  TCP: подключение к 192.168.56.102:55200...
13:45:54.126  Работаем. Ctrl+C для остановки.
13:45:54.128  TCP: подключено к 192.168.56.102:55200
13:45:59.128  Rate: 2001 pkt/s | Total: 10014 | Loss: 0 | CRC err: 0 | Sync: 100.0%
13:46:04.136  Rate: 2001 pkt/s | Total: 20033 | Loss: 0 | CRC err: 0 | Sync: 100.0%
13:46:09.143  Rate: 2000 pkt/s | Total: 30045 | Loss: 0 | CRC err: 0 | Sync: 100.0%
13:46:32.227  Rate: 2004 pkt/s | Total: 76200 | Loss: 0 | CRC err: 0 | Sync: 100.0%
13:46:37.232  Rate: 2000 pkt/s | Total: 86207 | Loss: 0 | CRC err: 0 | Sync: 100.0%
13:46:42.240  Rate: 2001 pkt/s | Total: 96218 | Loss: 0 | CRC err: 0 | Sync: 100.0%
13:46:47.249  Rate: 2000 pkt/s | Total: 106241 | Loss: 0 | CRC err: 0 | Sync: 100.0%
13:46:52.255  Rate: 2000 pkt/s | Total: 116248 | Loss: 0 | CRC err: 0 | Sync: 100.0%
13:46:57.257  Rate: 2002 pkt/s | Total: 126254 | Loss: 0 | CRC err: 0 | Sync: 99.9%
13:47:02.264  Rate: 2001 pkt/s | Total: 136275 | Loss: 0 | CRC err: 0 | Sync: 99.5%
13:47:07.270  Rate: 2006 pkt/s | Total: 146282 | Loss: 0 | CRC err: 0 | Sync: 97.7%
13:47:12.274  Rate: 2001 pkt/s | Total: 156288 | Loss: 0 | CRC err: 0 | Sync: 97.7%
13:47:17.278  Rate: 2000 pkt/s | Total: 166298 | Loss: 0 | CRC err: 0 | Sync: 97.8%
13:47:22.281  Rate: 2001 pkt/s | Total: 176303 | Loss: 0 | CRC err: 0 | Sync: 97.8%
13:47:27.284  Rate: 2001 pkt/s | Total: 186306 | Loss: 0 | CRC err: 0 | Sync: 97.9%
13:47:32.288  Rate: 2000 pkt/s | Total: 196320 | Loss: 0 | CRC err: 0 | Sync: 97.9%
13:47:37.293  Rate: 2168 pkt/s | Total: 206328 | Loss: 0 | CRC err: 0 | Sync: 97.7%
13:47:42.299  Rate: 2000 pkt/s | Total: 216340 | Loss: 0 | CRC err: 0 | Sync: 97.8%
13:47:47.307  Rate: 2002 pkt/s | Total: 226353 | Loss: 0 | CRC err: 0 | Sync: 97.4%
13:47:52.313  Rate: 2003 pkt/s | Total: 236368 | Loss: 0 | CRC err: 0 | Sync: 97.5%
13:51:11.477  Rate: 2001 pkt/s | Total: 634636 | Loss: 61 | CRC err: 0 | Sync: 98.4%
13:51:16.486  Rate: 1997 pkt/s | Total: 644644 | Loss: 61 | CRC err: 0 | Sync: 98.4%
13:51:21.492  Rate: 2005 pkt/s | Total: 654655 | Loss: 61 | CRC err: 0 | Sync: 98.4%
13:51:26.502  Rate: 2000 pkt/s | Total: 664673 | Loss: 61 | CRC err: 0 | Sync: 98.4%
13:51:31.505  Rate: 1993 pkt/s | Total: 674655 | Loss: 61 | CRC err: 0 | Sync: 98.5%
13:51:36.509  Rate: 2001 pkt/s | Total: 684668 | Loss: 61 | CRC err: 0 | Sync: 98.5%
13:51:41.517  Rate: 2002 pkt/s | Total: 694687 | Loss: 61 | CRC err: 0 | Sync: 98.5%
13:51:46.520  Rate: 2001 pkt/s | Total: 704686 | Loss: 61 | CRC err: 0 | Sync: 98.5%
13:51:51.525  Rate: 2000 pkt/s | Total: 714697 | Loss: 61 | CRC err: 0 | Sync: 98.5%
13:51:56.538  Rate: 1997 pkt/s | Total: 724718 | Loss: 61 | CRC err: 0 | Sync: 98.6%
13:52:01.550  Rate: 1995 pkt/s | Total: 734736 | Loss: 61 | CRC err: 0 | Sync: 98.6%
13:52:06.562  Rate: 2000 pkt/s | Total: 744761 | Loss: 61 | CRC err: 0 | Sync: 98.5%
13:52:11.566  Rate: 2001 pkt/s | Total: 754777 | Loss: 61 | CRC err: 0 | Sync: 98.5%
13:55:09.810  Rate: 2001 pkt/s | Total: 1111218 | Loss: 122 | CRC err: 0 | Sync: 99.0%
13:55:16.954  Rate: 2000 pkt/s | Total: 1125503 | Loss: 122 | CRC err: 0 | Sync: 99.0%
13:55:21.964  Rate: 2002 pkt/s | Total: 1135519 | Loss: 122 | CRC err: 0 | Sync: 99.0%
13:55:26.971  Rate: 1997 pkt/s | Total: 1145523 | Loss: 122 | CRC err: 0 | Sync: 99.0%
13:55:31.990  Rate: 2000 pkt/s | Total: 1155572 | Loss: 122 | CRC err: 0 | Sync: 99.0%
13:55:52.106  Rate: 2002 pkt/s | Total: 1195804 | Loss: 122 | CRC err: 0 | Sync: 99.0%
13:55:57.108  Rate: 2002 pkt/s | Total: 1205802 | Loss: 122 | CRC err: 0 | Sync: 99.0%
13:56:02.110  Rate: 2001 pkt/s | Total: 1215803 | Loss: 122 | CRC err: 0 | Sync: 99.1%
13:56:07.120  Rate: 1998 pkt/s | Total: 1225819 | Loss: 122 | CRC err: 0 | Sync: 99.1%
13:56:12.125  Rate: 2002 pkt/s | Total: 1235822 | Loss: 122 | CRC err: 0 | Sync: 99.1%
13:56:17.127  Rate: 2000 pkt/s | Total: 1245828 | Loss: 122 | CRC err: 0 | Sync: 99.1%
13:56:22.140  Rate: 2002 pkt/s | Total: 1255857 | Loss: 122 | CRC err: 0 | Sync: 99.1%
13:56:27.149  Rate: 2000 pkt/s | Total: 1265875 | Loss: 122 | CRC err: 0 | Sync: 99.1%
13:56:32.153  Rate: 2001 pkt/s | Total: 1275883 | Loss: 122 | CRC err: 0 | Sync: 99.1%
13:56:51.180  Rate: 2001 pkt/s | Total: 1313911 | Loss: 122 | CRC err: 0 | Sync: 99.1%
13:56:56.192  Rate: 2002 pkt/s | Total: 1323935 | Loss: 183 | CRC err: 0 | Sync: 99.1%
13:57:01.194  Rate: 2004 pkt/s | Total: 1333938 | Loss: 183 | CRC err: 0 | Sync: 99.1%
13:57:06.197  Rate: 2000 pkt/s | Total: 1343942 | Loss: 183 | CRC err: 0 | Sync: 99.1%
13:57:11.224  Rate: 2002 pkt/s | Total: 1353997 | Loss: 183 | CRC err: 0 | Sync: 99.1%
13:57:16.231  Rate: 2005 pkt/s | Total: 1364007 | Loss: 183 | CRC err: 0 | Sync: 99.2%
13:57:21.235  Rate: 2002 pkt/s | Total: 1374016 | Loss: 183 | CRC err: 0 | Sync: 99.2%
13:57:26.238  Rate: 2003 pkt/s | Total: 1384017 | Loss: 183 | CRC err: 0 | Sync: 99.2%
13:57:31.253  Rate: 2001 pkt/s | Total: 1394052 | Loss: 183 | CRC err: 0 | Sync: 99.2%
13:57:36.254  Rate: 2002 pkt/s | Total: 1404053 | Loss: 183 | CRC err: 0 | Sync: 99.2%
13:57:41.259  Rate: 2000 pkt/s | Total: 1414064 | Loss: 183 | CRC err: 0 | Sync: 99.2%
13:57:46.271  Rate: 2002 pkt/s | Total: 1424087 | Loss: 183 | CRC err: 0 | Sync: 99.2%
13:57:51.275  Rate: 1997 pkt/s | Total: 1434090 | Loss: 183 | CRC err: 0 | Sync: 99.2%
13:57:56.282  Rate: 2000 pkt/s | Total: 1444105 | Loss: 183 | CRC err: 0 | Sync: 99.2%
13:58:01.286  Rate: 2002 pkt/s | Total: 1454118 | Loss: 183 | CRC err: 0 | Sync: 99.2%
13:58:06.291  Rate: 2001 pkt/s | Total: 1464128 | Loss: 183 | CRC err: 0 | Sync: 99.2%
13:58:11.300  Rate: 2000 pkt/s | Total: 1474146 | Loss: 183 | CRC err: 0 | Sync: 99.2%
13:58:16.303  Rate: 2001 pkt/s | Total: 1484156 | Loss: 183 | CRC err: 0 | Sync: 99.2%
13:58:21.309  Rate: 2001 pkt/s | Total: 1494157 | Loss: 183 | CRC err: 0 | Sync: 99.2%
13:58:26.312  Rate: 2000 pkt/s | Total: 1504165 | Loss: 183 | CRC err: 0 | Sync: 99.2%
13:58:31.317  Rate: 2001 pkt/s | Total: 1514173 | Loss: 183 | CRC err: 0 | Sync: 99.2%
13:58:36.320  Rate: 2002 pkt/s | Total: 1524180 | Loss: 183 | CRC err: 0 | Sync: 99.2%
13:58:41.326  Rate: 2004 pkt/s | Total: 1534190 | Loss: 183 | CRC err: 0 | Sync: 99.2%
13:58:48.194  Rate: 2002 pkt/s | Total: 1547929 | Loss: 183 | CRC err: 0 | Sync: 99.3%
13:58:57.300  Rate: 2000 pkt/s | Total: 1566136 | Loss: 183 | CRC err: 0 | Sync: 99.3%
13:59:02.305  Rate: 2002 pkt/s | Total: 1576147 | Loss: 183 | CRC err: 0 | Sync: 99.3%
13:59:07.316  Rate: 2001 pkt/s | Total: 1586166 | Loss: 183 | CRC err: 0 | Sync: 99.3%
13:59:12.323  Rate: 2002 pkt/s | Total: 1596175 | Loss: 183 | CRC err: 0 | Sync: 99.3%
13:59:17.327  Rate: 2001 pkt/s | Total: 1606184 | Loss: 183 | CRC err: 0 | Sync: 99.3%
13:59:22.335  Rate: 2000 pkt/s | Total: 1616201 | Loss: 183 | CRC err: 0 | Sync: 99.3%
13:59:27.336  Rate: 2003 pkt/s | Total: 1626199 | Loss: 183 | CRC err: 0 | Sync: 99.3%
13:59:32.348  Rate: 2000 pkt/s | Total: 1636226 | Loss: 183 | CRC err: 0 | Sync: 99.3%
13:59:37.361  Rate: 2001 pkt/s | Total: 1646255 | Loss: 183 | CRC err: 0 | Sync: 99.3%
13:59:42.364  Rate: 2003 pkt/s | Total: 1656259 | Loss: 183 | CRC err: 0 | Sync: 99.3%
